Message,Severity,Explanation,Recommended Action
"APF-3-SITE_INVALID_VALUE: ""Invalid value in AP group""",3-Error,Value in AP group is invalid.,delete and re-create the apgroup
"APF-3-SITE_NO_AP_GROUP: ""Cannot find apgroup for AP""",3-Error,no apgroup set for the AP.,set apgroup for AP
"APF-3-SITE_NO_NAME: ""Site %d has no name.""",3-Error,Site has no name.,Standard Recommended Action
"APF-3-SITE_NOT_FOUND: ""Cannot find AP group""",3-Error,An internal error occurred when processing AP group definitions. Groups may not be correctly configured.,Standard Recommended Action
APF-3-SITE_NULL_WLAN: MSG_TRACEBACK,3-Error,WLAN 0 is not valid.,No action is required
APF-3-SOCK_OPER_FAILED: MSG_TRACEBACK,3-Error,A socket operation on a socket returned failure with error.,Standard Recommended Action
"APF-3-TOO_MANY_SSIDS_FROM_AAA: ""Number of SSID Cisco AVPairs received from AAA Server is more than the maximum supported.""",3-Error,Number of SSID Cisco AVPairs received from AAA server has reached max threshold.,Standard Recommended Action
APF-3-UNABLE_ALLOC_MEM_OFF_STACK: MSG_TRACEBACK,3-Error,Unable to allocate memory off the stack.,Standard Recommended Action
"APF-3-UNABLE_CREATE_WLAN_FOR_CISCO_AP: ""Unable to create WLAN %d for Cisco AP %s""",3-Error,Unable to create WLAN for Cisco AP.,Standard Recommended Action
"APF-3-UNABLE_TO_ENCAP_DELTS_HDR: ""Unable to encapsulate DELTS header for mobile %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-UNABLE_TO_ENTER_STATE_AP: ""Unable to properly enter state %d from previous state %d for AP %s.""",3-Error,Unable to properly enter AP state.,Standard Recommended Action
"APF-3-UNABLE_TO_ENTER_STATE_CLIENT: ""Unable to properly enter state %d client %s.""",3-Error,Unable to properly enter client state.,Standard Recommended Action
"APF-3-UNABLE_TO_EXIT_STATE_AP: ""Unable to properly exit state from %d while moving to new state %d for rogue AP/client %s.""",3-Error,Unable to properly exit AP state.,Standard Recommended Action
"APF-3-UNABLE_TO_INIT_VAP: ""Unable to initialize VAP %.*s.""",3-Error,Unable to initialize VAP.,Standard Recommended Action
"APF-3-UNABLE_TO_UPDATE_ROGUE_CLIENT: ""Unable to update state %d Rogue client %s.""",3-Error,Unable to update Rogue Client state.,No action is required
"APF-3-UNABLE_TO_UPDATE_STATE_ROGUE_AP: ""Unable to update state %d Rogue AP %s.""",3-Error,Unable to update Rogue AP state.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
APF-3-UNABLE_TO_VALIDATE_ROGUE_AP_POL: MSG_SECURITY,3-Error,Unable to validate rogue AP policy. System will not auto contain the AP.,Standard Recommended Action
"APF-3-UNKNOWN_RADIO_TYPE: ""Unknown Radio Type %d.""",3-Error,Radio Types can only be 802.11a and 802.11bg.,Standard Recommended Action
"APF-3-UNSUPP_RADIO_TYPE: Unsupported Radio Type %d.""",3-Error,Radio Types can only be 802.11a and 802.11bg.,Standard Recommended Action
"APF-3-UPDATE_FOREIGN_AP_FAILED: ""Could not update foreign AP %s. %s.""",3-Error,Could not update foreign AP.,Standard Recommended Action
"APF-3-UPDATE_FOREIGN_AP_INTF_FAILED: ""Could not update foreign AP interface %s. %s.""",3-Error,Could not update foreign AP interface.,Standard Recommended Action
"APF-3-VALIDATE_CCKM_REASS_REQ_ELEMENT_FAILED: ""%s. Mobile:%02x:%02x:%02x:%02x:%02x:%02x",3-Error,Validation for CCKM Reassociation request element failed. Check the reason for failure in error message.,Standard Recommended Action
"APF-3-VALIDATE_DOT11i_CIPHERS_FAILED: Could not validate Dot11i security IE. %s.Mobile:%02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Validation for Dot11i security IE failed. Received invalid RSN cipher suite or an invalid  Unicast/Multicast WPA OUI code.,This is a debug message only. No action is required.
"APF-3-VALIDATE_WAPI_AUTH_FAILED: ""Could not validate the WAPI Security IE",3-Error,Validation for WAPI security information element failed.  The supported AKM types are Cert based AKM,Standard Recommended Action
"APF-3-VALIDATE_WAPI_CIPHERS_FAILED: ""Could not validate WAPI Security IE",3-Error,Validation for WAPI Security IE failed. Received invalid WAPI cipher suite or an invalid Unicast/Multicast WAPI OUI code.,This is a debug message only. No action is required.
APF-3-VAP_STATUS_SET_FAILED: MSG_TRACEBACK,3-Error,Could not enable wlan. Either pre shared key is missing or  WEP key index is invalid or static WEP key index is same as dynamic WEP key index .,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WARP_INIT_FAILED: ""Could not initialize WARP. %s.""",3-Error,Failed to initialize WARP.,This is a debug message only. No action is required.
"APF-3-WATCHENTRY_CREATE_FAILED: ""Unable to create watchlist entry for key%2x:%2x:%2x:%2x:%2x:%2x. Key type: %s.""",3-Error,LOG_EXPL_SYSERR,No action is required
"APF-3-WATCHENTRY_DEL_FAILED: ""Unable to delete watchlist entry for key %2x:%2x:%2x:%2x:%2x:%2x. %s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WEP_KEY_SET_FAILED: ""Could not set the 802.11 WEP key. %s. WLAN %.*s""",3-Error,Could not set WEP key for the WLAN. Invalid 802.11 WEP key.,This is a debug message only. No action is required.
"APF-3-WGB_ADD_VLAN_CLIENT_FAILURE: ""%s: Unable to add wired vlan client %02x:%02x:%02x:%02x:%02x:%02x Vlan %d WGB %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Failed to add wired vlan client. Interface for specified VLAN does not exist.,Please Configure the Interface on the Controller for the specified Vlan.
"APF-3-WGB_ADD_WIRED_CLIENT_FAILURE: ""Unable to add wired client %02x:%02x:%02x:%02x:%02x:%02x.WGB %02x:%02x:%02x:%02x:%02x:%02x. %s.""",3-Error,Failed to add wired client. WGB data is missing.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WGB_DATA_MEM_ALLOC_FAILED: ""%s: Unable to allocate %d bytes for WGB state.""",3-Error,LOG_EXPL_SYSERR,"Reduce other system activity to ease memory demands. If conditions warrant, upgrade to a larger memory configuration"
"APF-3-WGB_INVALID_CLIENT_DELETE_ATTEMPT: ""%s: Attempted to delete a non wgb client as wgb client.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WGB_INVWLAN: ""%s""",3-Error,Received an IAPP or Mobility message where the WGB MAC and wired client MAC are erroneously the same.,Standard Recommended Action
"APF-3-WGB_PLUMB: ""%s""",3-Error,Failed to plumb in the driver the WGB wired client's AAA attributes. This is an internal system error.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WGB_POLICY: ""%s""",3-Error,A WGB wired client normally inherits its associated WGB AAA attributes. This operation failed,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WGB_UNABLE_TO_ADD_WIRED_CLIENT: ""%s: Unable to add wired client %02x:%02x:%02x:%02x:%02x:%02x. WGB %02x:%02x:%02x:%02x:%02x:%02x is either not found",3-Error,Failed to add wired a client. Either WGB is not found or is already excluded or is being deleted.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
APF-3-WGB_UNSUPPORTED_IAPP_PKT: MSG_TRACEBACK,3-Error, Received unsupported IAPP packet type or subtype.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WGB_WIRED_CLIENT_CREATE_FAILURE: ""%s: Unable to create WGB wired client entry%02x:%02x:%02x:%02x:%02x:%02x!.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WGB_WIRED_CLIENT_GOT_AID: ""WGB Wired client %02x:%02x:%02x:%02x:%02x:%02x allocated with AID %d""",3-Error,WGB Wired client got allocated with AID,Standard Recommended Action
"APF-3-WGB_WIRED_CLIENT_MAC_CONFLICT: ""%s""",3-Error,Received an IAPP or Mobility message where the WGB MAC and wired client MAC are erroneously the same.,Standard Recommended Action
"APF-3-WGB_WIRED_CLIENT_MAXED_OUT: ""Unable to add wired client %02x:%02x:%02x:%02x:%02x:%02x.WGB %02x:%02x:%02x:%02x:%02x:%02x. %s.""",3-Error,Failed to add wired client. Either reached maximum limit of wired client or due to internal system error.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WGB_WIRED_CLIENT_VLAN_OVERRIDE_FAILURE: ""%s: Unable to Apply VLAN Override to WGB wired client %02x:%02x:%02x:%02x:%02x:%02x!. VLAN %d""",3-Error,Failed to Apply VLAN override for WGB wired client.Interface not configured.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WIRED_CLIENT_MEM_ALLOC_FAILURE: ""%s: Unable to allocate WGB wired client structure!""",3-Error,LOG_EXPL_SYSERR,"Reduce other system activity to ease memory demands. If conditions warrant, upgrade to a larger memory configuration"
"APF-3-WIRED_CLIENT_NAC_FAILURE: ""%s: Unable to NAC OOB for WGB wired client entry%02x:%02x:%02x:%02x:%02x:%02x!.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-WIRED_GUEST_CREATE_FAILED_ERR: ""Could not create Mobile Station Entry. %s. Mobile:%02x:%02x:%02x:%02x:%02x:%02x",3-Error,Could not create Mobile Station Entry.,Standard Recommended Action
APF-3-WLAN_OUT_OF_RANGE: MSG_TRACEBACK,3-Error,WLAN is not in valid range.,Configure a valid WLAN.
APF-3-WLAN_OUT_OF_RANGE: MSG_TRACEBACK,3-Error,WLAN is not in valid range.,Configure a valid WLAN.
APF-3-WLAN_OUT_OF_RANGE: MSG_TRACEBACK,3-Error,WLAN is not in valid range.,Configure a valid WLAN.
"APF-4-APF_WIRED_GUEST_CLIENT_CREATE_FAILURE: ""Unable to create wired guest client entry for %02x:%02x:%02x:%02x:%02x:%02x.""",4-Warning,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-4-APF_WRONG_ACL_LEN_FROM_AAA: ""Wrong url-redirect-acl length received  with value:%d""",4-Warning, ACL passed from Radius Server is exceeding the maximum length suported ,Verify the ACL for this client on Radius Server
"APF-4-ASSOCREQ_PROC_FAILED: ""Failed to process an association request from %02x:%02x:%02x:%02x:%02x:%02x. WLAN:%d",4-Warning,Processing of association request from a mobile failed. The real reason for failure is specified in the message.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-4-ATIM_FRAM_DROP: ""Ignoring ATIM frame..""",4-Warning,Currently system do not process 802.11 ATIM Frames.,No action is required
"APF-4-AUTO_CONTAIN_AP_NOT_SUPPORTED: ""Unable to add foreign access point%02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,Error message generated during data validation of migrated data.,No action is required
"APF-4-CHANGE_DOT11G_SUPP: ""802.11g Support changing from %s to %s. APs will reload.""",4-Warning,802.11g Support changes. APs will reload.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
APF-4-CHANGE_ORPHAN_PKT_IP: MSG_SECURITY,4-Warning,Changing orphan packet IP address for a station.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-4-CREATE_PMK_CACHE_FAILED: ""Attempt to insert PMK to the key cache failed. %s.Length: %d. Station:%02x:%02x:%02x:%02x:%02x:%02x .Cache size reached %d""",4-Warning,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-4-CREATE_WEP_CACHE_FAILED: ""Attempt to insert WEP key failed. %s. Recv Length: %d",4-Warning,Attempt to insert WEP key failed.,Standard Recommended Action
"APF-4-DOT1P_TAGS: ""Dot1P Tags %s for all APs connected to this switch""",4-Warning,Dot1P Tags for all APs connected to a switch.,Standard Recommended Action
APF-4-HANDOFF_END_RCVD: MSG_SECURITY,4-Warning,Handoff end rcvd for a mobile.,Standard Recommended Action
"APF-4-IGNORE_IDLE_TIMEOUT: ""Ignoring Idle-Timeout event from the NPU for STA %02x:%02x:%02x:%02x:%02x:%02x associated to REAP AP%02x:%02x:%02x:%02x:%02x:%02x",4-Warning,Ignoring Idle-Timeout event from the NPU for STA which is associated to REAP AP.,Standard Recommended Action
"APF-4-INVALID_ACTION_CATEGORY: ""Could not process 802.11 Action. %s. Mobile:%s",4-Warning,Could not process 802.11 Action frame from the client. Client has not sent the supported action Frame on Controller.Supported category codes are 6,This is a debug message only. No action is required.
APF-4-INVALID_ENC_POL_SET: MSG_TRACEBACK | MSG_SECURITY,4-Warning,Invalid encryption policy is set.,Standard Recommended Action
APF-4-INVALID_ENC_POL_SET: MSG_TRACEBACK | MSG_SECURITY,4-Warning,Invalid encryption policy is set.,No action is required
"APF-4-INVALID_INFO_ELEMENT_LEN: ""Invalid SSID Information Element length in probe request from %s.""",4-Warning,Invalid SSID Information Element length in probe request.,Standard Recommended Action
"APF-4-INVALID_RADIO_CONFIG: ""Invalid configuration found for %s radio. %s.""",4-Warning,Invalid configuration found for a radio.,Standard Recommended Action
"APF-4-INVALID_STAAPL_IE: ""Received invalid STA APL IE from STA %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,Received invalid STA APL IE from a STA.,Standard Recommended Action
APF-4-MAX_CLIENTS_THRESHOLD_REACHED: MSG_SECURITY,4-Warning,Number of Associated clients has reached max threshold warning level,No action is required
APF-4-MOBILE_IPv6_ADD_TO_CLIENT_FAILED: MSG_SECURITY | MSG_TRACEBACK,4-Warning,Could not add IPv6 address to Client Entry.,Standard Recommended Action
"APF-4-MOBILESTATION_NOT_FOUND: ""Could not find the mobile %02x:%02x:%02x:%02x:%02x:%02x in internal database""",4-Warning,Could not find a particular mobile station in internal database,No action is required
APF-4-MS_BLACKLIST_TIMEOUT_NOT_FOUND: MSG_TRACEBACK,4-Warning,Could not find the block listed timeout for particular mobile station in internal database,No action is required
APF-4-MS_NOT_FOUND_IN_BLACKLIST_TREE: MSG_TRACEBACK,4-Warning,Could not find a particular mobile station in internal block list database,No action is required
"APF-4-MSCB_NOT_FOUND: ""Unable to find Mobile Station Entry for %02X:%02X:%02X:%02X:%02X:%02X .""",4-Warning,Unable to find Mobile Station Entry.,No action is required
"APF-4-NOT_REGISTERING_IP_ADD_ON_MSCB: ""Not registering IP address %d.%d.%d.%d with netmask %d.%d.%d.%d for client %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The given IP address was not registered for the client since it failed validation for the given netmask.,A client may be trying to use an invalid IP. Check DHCP server configuration if the address is assigned through DHCP.
"APF-4-NOTIFMSG_PROC_FAILED: ""Failed to process a notification message ",4-Warning,Failed to process a notification message. ,Standard Recommended Action
"APF-4-OLD_ACE_RCL_IE_PRESENT: ""Old ACE RCL IE is present in mscb for station %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,Old ACE RCL IE is present in mscb for a station.,Standard Recommended Action
"APF-4-PARSE_BSN_PKT_FAILED: ""Could not parse Bsn Packet. Reason:%s.""",4-Warning,Could not parse Bsn Packet.,Standard Recommended Action
"APF-4-PARSE_ETH0VIP_PKT_FAILED: ""Could not parse Eth0vIP Packet. Reason:%s.""",4-Warning,Could not parse Eth0vIP Packet.,This is a debug message only. No action is required.
